Título;Data;Nota;C/V;Qtd_Negociada;Preço;Taxas por Nota;IRRF por Nota
ABEV3.SA;17/03/2020;960928;Compra;100;11.05;2.45 ;0
BRFS3.SA;17/03/2020;960928;Compra;100;13.75;2.45 ;0
ITUB4.SA;17/03/2020;960928;Compra;100;24.51;2.45 ;0
PETR4.SA;17/03/2020;960928;Compra;200;13.4;2.45 ;0
TIMS3.SA;17/03/2020;960928;Compra;100;13.05;2.45;0
ABEV3.SA;24/09/2020;3949236;Compra;200;12.49;1.82;0
BRFS3.SA;24/09/2020;3949236;Compra;100;19.85;1.82;0
JBSS3.SA;24/09/2020;3949236;Compra;100;21.66;1.82;0
BRFS3.SA;09/10/2020;4235368;Venda;200;17.59;1.48;0.17
CMIG4.SA;09/10/2020;4235368;Compra;200;10.78;1.48;0
CMIG4.SA;13/10/2020;4265075;Compra;300;10.64;1.40;0
JBSS3.SA;13/10/2020;4265075;Venda;100;19.2;1.40;0.09
ABEV3.SA;19/10/2020;4405586;Compra;300;13.38;3.67;0
CMIG4.SA;19/10/2020;4405586;Venda;500;10.91;3.67;0.2658
PETR4.SA;19/10/2020;4405586;Venda;200;19.42;3.67;0.1942
ABEV3.SA;20/10/2020;4439936;Venda;400;13.34;1.82;0.2655
TIMS3.SA;20/10/2020;4439936;Venda;100;12.9;1.82;0.0645
ABEV3.SA;27/10/2020;4594838;Venda;200;13.75;0.75;0.13
PETR4.SA;04/11/2020;4750855;Compra;200;19.47;1.07;0
PETR4.SA;06/11/2020;4806350;Compra;200;19.80;1.08;0
ITUB4.SA;09/11/2020;4838720;Venda;100;27.75;0.76;0.13
PETR4.SA;10/11/2020;4880221;Venda;400;23.00;2.53;0.46
BRFS3.SA;03/12/2020;5452839;Compra;200;21.22;2.41;0
PARD3.SA;03/12/2020;5452839;Compra;200;23.56;2.41;0
BRFS3.SA;07/12/2020;5525994;Venda;200;21.08;1.93;0.21
PARD3.SA;07/12/2020;5525994;Venda;200;23.28;1.93;0.23
PARD3.SA;14/12/2020;5703669;Compra;300;22.19;1.42;0
PARD3.SA;15/12/2020;5747308;Venda;300;22.22;1.83;0.33
JBSS3.SA;22/01/2021;576200;Compra;300;24.34;1.81;0
JBSS3.SA;26/01/2021;617988;Venda;300;23.95;1.97;0.35
JBSS3.SA;24/02/2021;1359404;Compra;200;26.24;1.30;0
CMIG4.SA;01/03/2021;1486881;Compra;200;11.61;3.17;0
ITUB4.SA;01/03/2021;1486881;Compra;200;25.03;3.17;0
JBSS3.SA;01/03/2021;1486881;Venda;200;26.82;3.17;0.26
ITUB4.SA;03/03/2021;1575787;Venda;200;25.16;1.25;0.25
